payment_id,order_id,payment_method,amount,payment_status
76,76,PayPal,401.07,Pending
77,77,PayPal,1471.86,Paid
78,78,Bank Transfer,2214.11,Pending
79,79,Apple Pay,110.64,Paid
80,80,PayPal,2215.48,Paid
81,81,Apple Pay,1259.69,Paid
82,82,PayPal,909.92,Pending
83,83,Bank Transfer,567.93,Pending
84,84,Apple Pay,3133.01,Paid
85,85,Apple Pay,1217.96,Paid
86,86,Bank Transfer,2128.31,Paid
87,87,Google Pay,644.01,Paid
88,88,PayPal,214.67,Pending
89,89,PayPal,2342.21,Pending
90,90,PayPal,629.34,Paid
91,91,Google Pay,3231.64,Paid
92,92,Apple Pay,40.06,Paid
93,93,PayPal,1752.48,Pending
94,94,PayPal,2548.36,Paid
95,95,Google Pay,3233.18,Paid
96,96,PayPal,2204.75,Paid
97,97,Card,1590.25,Pending
98,98,Card,326.76,Paid
99,99,Google Pay,102.4,Paid
100,100,Google Pay,1773.59,Paid
101,101,Bank Transfer,1738.01,Pending
102,102,Apple Pay,590.81,Paid
103,103,Apple Pay,1376.09,Paid
104,104,Bank Transfer,487.29,Paid
105,105,Card,1334.76,Paid
106,106,Card,1036.46,Paid
107,107,Card,1140.76,Paid
108,108,Bank Transfer,629.08,Paid
109,109,Google Pay,1777.2,Paid
110,110,Card,1067.13,Pending
111,111,Bank Transfer,1835.49,Pending
112,112,Apple Pay,1564.09,Paid
113,113,Bank Transfer,1803.78,Pending
114,114,Bank Transfer,2138.67,Paid
115,115,Apple Pay,1484.12,Paid
116,116,PayPal,615.12,Pending
117,117,Card,2657.32,Pending
118,118,Card,1323.27,Pending
119,119,Google Pay,2145.03,Pending
120,120,Bank Transfer,1465.77,Paid
121,121,Apple Pay,890.89,Paid
122,122,Google Pay,108.89,Paid
123,123,PayPal,1382.07,Paid
124,124,Card,499.94,Paid
125,125,Google Pay,598.0,Pending
126,126,Card,1307.77,Pending
127,127,PayPal,2624.03,Pending
128,128,PayPal,984.33,Pending
129,129,Bank Transfer,1668.21,Paid
130,130,PayPal,2686.8,Pending
131,131,Bank Transfer,2586.83,Paid
132,132,Bank Transfer,248.68,Paid
133,133,Bank Transfer,1791.56,Pending
134,134,Apple Pay,1319.28,Pending
135,135,PayPal,629.69,Paid
136,136,Bank Transfer,1720.68,Paid
137,137,Apple Pay,2491.43,Pending
138,138,Apple Pay,1039.34,Paid
139,139,Google Pay,2098.62,Pending
140,140,Google Pay,560.84,Paid
141,141,Google Pay,948.98,Paid
142,142,Bank Transfer,917.34,Paid
143,143,Bank Transfer,2398.61,Pending
144,144,Apple Pay,1269.17,Paid
145,145,Bank Transfer,1447.01,Paid
146,146,PayPal,1394.73,Paid
147,147,Bank Transfer,1729.34,Paid
148,148,Card,1556.58,Pending
149,149,PayPal,344.85,Pending
150,150,Google Pay,1057.21,Paid
151,151,Apple Pay,1053.66,Paid
152,152,Bank Transfer,257.18,Paid
153,153,Apple Pay,2163.17,Paid
154,154,Bank Transfer,222.93,Paid
155,155,Card,1146.96,Paid
156,156,Google Pay,638.5,Paid
157,157,Apple Pay,2528.26,Paid
158,158,Card,1808.44,Paid
159,159,Apple Pay,2261.94,Pending
160,160,Apple Pay,1120.41,Pending
161,161,Google Pay,1423.8,Paid
162,162,Bank Transfer,988.92,Paid
163,163,Apple Pay,686.45,Paid
164,164,Bank Transfer,1015.97,Paid
165,165,PayPal,1119.8,Pending
166,166,Google Pay,1471.71,Pending
167,167,Card,523.35,Paid
168,168,Card,1314.45,Pending
169,169,Bank Transfer,1432.35,Paid
170,170,Bank Transfer,112.16,Paid
171,171,PayPal,728.96,Paid
172,172,Bank Transfer,210.3,Pending
173,173,PayPal,1566.93,Paid
174,174,Card,675.15,Pending
175,175,PayPal,334.02,Paid
176,176,Card,1578.74,Paid
177,177,PayPal,684.18,Paid
178,178,Google Pay,1982.12,Pending
179,179,Card,1909.7,Pending
180,180,Apple Pay,923.54,Pending
181,181,PayPal,601.4,Paid
182,182,Card,798.39,Paid
183,183,Bank Transfer,1400.6,Paid
184,184,Card,2263.85,Paid
185,185,Bank Transfer,631.54,Paid
186,186,Bank Transfer,350.42,Paid
187,187,Bank Transfer,1740.61,Pending
188,188,Google Pay,2255.73,Paid
189,189,Bank Transfer,1386.75,Paid
190,190,Google Pay,787.64,Paid
191,191,Google Pay,917.28,Paid
192,192,Google Pay,2635.94,Pending
193,193,Bank Transfer,1445.04,Pending
194,194,Card,54.84,Paid
195,195,PayPal,670.32,Paid
196,196,Apple Pay,626.59,Pending
197,197,Google Pay,975.17,Pending
198,198,Apple Pay,921.36,Pending
199,199,PayPal,2127.25,Paid
200,200,Card,2714.81,Pending
201,201,Google Pay,13.26,Paid
202,202,Apple Pay,167.01,Paid
203,203,Card,3935.81,Paid
204,204,Card,2997.03,Pending
205,205,Apple Pay,443.55,Pending
206,206,Apple Pay,1464.22,Paid
207,207,Card,948.01,Pending
208,208,Google Pay,2240.5,Paid
209,209,Card,728.31,Paid
210,210,Apple Pay,639.99,Paid
211,211,Google Pay,2170.74,Paid
212,212,Google Pay,167.01,Pending
213,213,Apple Pay,2474.12,Paid
214,214,Google Pay,1681.56,Paid
215,215,PayPal,1326.38,Paid
216,216,Bank Transfer,410.16,Paid
217,217,Google Pay,270.51,Paid
218,218,Apple Pay,949.2,Pending
219,219,PayPal,545.93,Pending
220,220,PayPal,3362.41,Paid
221,221,Card,2265.49,Pending
222,222,Bank Transfer,1530.55,Pending
223,223,Apple Pay,891.06,Paid
224,224,Apple Pay,1366.07,Pending
225,225,PayPal,2102.02,Pending
226,226,Card,3108.01,Paid
227,227,Google Pay,631.54,Paid
228,228,Apple Pay,1379.07,Pending
229,229,Bank Transfer,1790.59,Paid
230,230,Google Pay,909.69,Paid
231,231,Google Pay,310.49,Pending
232,232,Apple Pay,1778.54,Pending
233,233,Google Pay,3927.28,Pending
234,234,Card,456.4,Paid
235,235,Google Pay,144.14,Pending
236,236,Google Pay,2208.7,Paid
237,237,Card,1102.16,Paid
238,238,Bank Transfer,2052.15,Paid
239,239,Bank Transfer,1905.15,Pending
240,240,Google Pay,1704.83,Pending
241,241,Apple Pay,1641.34,Pending
242,242,Google Pay,604.98,Pending
243,243,PayPal,509.25,Pending
244,244,PayPal,1630.59,Pending
245,245,Apple Pay,2511.6,Pending
246,246,Apple Pay,574.63,Pending
247,247,Card,3421.68,Pending
248,248,PayPal,638.5,Paid
249,249,PayPal,742.43,Paid
250,250,Card,528.78,Paid
251,251,Card,1415.87,Paid
252,252,Bank Transfer,2169.76,Pending
253,253,Bank Transfer,2178.59,Pending
254,254,PayPal,1838.99,Paid
255,255,Google Pay,443.99,Pending
256,256,Google Pay,2268.77,Paid
257,257,PayPal,2604.54,Pending
258,258,Apple Pay,1310.59,Paid
259,259,Google Pay,2220.17,Paid
260,260,Apple Pay,2626.29,Pending
261,261,Google Pay,348.55,Paid
262,262,PayPal,1705.18,Pending
263,263,Bank Transfer,1368.45,Paid
264,264,Apple Pay,3378.13,Pending
265,265,PayPal,108.89,Pending
266,266,Bank Transfer,2055.39,Paid
267,267,Card,1716.79,Pending
268,268,Card,652.41,Pending
269,269,Card,2809.98,Pending
270,270,PayPal,926.56,Paid
271,271,PayPal,1473.81,Paid
272,272,Bank Transfer,897.0,Pending
273,273,PayPal,754.71,Pending
274,274,Google Pay,1149.6,Pending
275,275,Bank Transfer,1214.89,Paid
276,276,PayPal,2619.56,Pending
277,277,Apple Pay,1926.91,Paid
278,278,PayPal,846.58,Pending
279,279,Card,1482.78,Paid
280,280,Google Pay,620.96,Pending
281,281,Apple Pay,980.28,Pending
282,282,Apple Pay,444.92,Pending
283,283,Bank Transfer,214.67,Pending
284,284,Card,338.49,Pending
285,285,PayPal,719.55,Pending
286,286,Google Pay,2672.7,Pending
287,287,Card,1059.99,Paid
288,288,Google Pay,1365.48,Paid
289,289,Bank Transfer,2071.16,Paid
290,290,Apple Pay,870.22,Paid
291,291,Google Pay,321.36,Paid
292,292,PayPal,2080.47,Paid
293,293,PayPal,382.22,Pending
294,294,Card,449.55,Paid
295,295,Google Pay,983.39,Paid
296,296,Bank Transfer,1860.77,Paid
297,297,Bank Transfer,670.32,Paid
298,298,Bank Transfer,319.25,Paid
299,299,Apple Pay,636.44,Pending
300,300,Google Pay,863.58,Paid
301,301,Google Pay,88.24,Pending
302,302,Card,1651.83,Paid
303,303,Apple Pay,1094.02,Pending
304,304,Google Pay,1354.04,Paid
305,305,PayPal,1204.28,Paid
306,306,Google Pay,373.78,Pending
307,307,PayPal,2294.9,Paid
308,308,PayPal,1224.45,Pending
309,309,PayPal,328.88,Pending
310,310,Apple Pay,2622.35,Paid
311,311,Bank Transfer,537.46,Paid
312,312,Card,1521.75,Pending
313,313,Apple Pay,1088.79,Pending
314,314,Apple Pay,1692.66,Pending
315,315,Bank Transfer,908.8,Paid
316,316,Google Pay,1510.46,Paid
317,317,Google Pay,494.14,Pending
318,318,Apple Pay,2811.91,Paid
319,319,Bank Transfer,791.25,Paid
320,320,Card,783.87,Pending
321,321,Card,486.16,Pending
322,322,Apple Pay,665.98,Pending
323,323,Google Pay,287.19,Paid
324,324,PayPal,1504.8,Paid
325,325,Card,600.44,Paid
326,326,Bank Transfer,1365.7,Paid
327,327,Bank Transfer,1122.85,Pending
328,328,Apple Pay,1356.98,Pending
329,329,Apple Pay,777.59,Pending
330,330,PayPal,519.41,Paid
331,331,Card,1205.08,Pending
332,332,Bank Transfer,1010.83,Paid
333,333,Apple Pay,1127.49,Pending
334,334,Card,621.66,Pending
335,335,Bank Transfer,331.92,Pending
336,336,Bank Transfer,1851.09,Pending
337,337,Card,2452.85,Pending
338,338,Bank Transfer,151.29,Pending
339,339,PayPal,2530.58,Paid
340,340,Bank Transfer,225.66,Paid
341,341,Apple Pay,93.4,Paid
342,342,PayPal,11.83,Pending
343,343,Bank Transfer,1087.98,Pending
344,344,Apple Pay,35.49,Pending
345,345,Apple Pay,872.49,Paid
346,346,PayPal,1198.54,Paid
347,347,Apple Pay,1042.26,Pending
348,348,PayPal,669.96,Paid
349,349,PayPal,13.06,Paid
350,350,Bank Transfer,426.66,Pending
351,351,PayPal,1042.15,Paid
352,352,Card,1718.37,Pending
353,353,Apple Pay,1482.42,Paid
354,354,Apple Pay,901.79,Paid
355,355,PayPal,435.11,Pending
356,356,Apple Pay,872.49,Paid
357,357,PayPal,359.14,Paid
358,358,Card,839.14,Pending
359,359,PayPal,257.88,Paid
360,360,Bank Transfer,2650.5,Pending
361,361,Google Pay,1079.04,Pending
362,362,Apple Pay,2282.21,Pending
363,363,Card,636.44,Pending
364,364,PayPal,1175.02,Pending
365,365,Card,413.79,Pending
366,366,Google Pay,2477.43,Pending
367,367,Card,1727.99,Paid
368,368,Google Pay,851.49,Pending
369,369,Google Pay,1179.2,Paid
370,370,Bank Transfer,315.77,Paid
371,371,Bank Transfer,1308.65,Paid
372,372,Apple Pay,1289.98,Paid
373,373,Google Pay,947.7,Paid
374,374,Apple Pay,483.22,Paid
375,375,Apple Pay,1569.45,Paid
376,376,Bank Transfer,2614.79,Pending
377,377,Card,1450.57,Pending
378,378,PayPal,880.6,Paid
379,379,Google Pay,2298.74,Pending
380,380,Google Pay,1072.67,Pending
381,381,Bank Transfer,1497.36,Pending
382,382,Card,151.42,Paid
383,383,Card,3323.74,Paid
384,384,Google Pay,444.2,Pending
385,385,Card,711.38,Pending
386,386,Card,3410.28,Paid
387,387,Card,638.5,Pending
388,388,Card,964.09,Paid
389,389,Apple Pay,371.08,Paid
390,390,Apple Pay,997.74,Pending
391,391,Google Pay,549.36,Pending
392,392,Card,1069.25,Pending
393,393,Google Pay,704.42,Paid
394,394,Google Pay,706.88,Pending
395,395,Card,2956.04,Pending
396,396,Apple Pay,2238.73,Paid
397,397,Bank Transfer,1868.95,Pending
398,398,Card,195.56,Paid
399,399,Apple Pay,93.4,Pending
400,400,Card,849.29,Paid
401,401,Card,18.28,Paid
402,402,Apple Pay,448.11,Pending
403,403,Apple Pay,2694.05,Paid
404,404,Apple Pay,446.88,Paid
405,405,Bank Transfer,157.62,Paid
406,406,Google Pay,1444.71,Pending
407,407,Apple Pay,2243.14,Paid
408,408,Google Pay,1042.89,Pending
409,409,Google Pay,1667.07,Paid
410,410,Card,909.72,Pending
411,411,Card,1583.11,Paid
412,412,Apple Pay,49.42,Paid
413,413,PayPal,1487.88,Paid
414,414,Apple Pay,1034.55,Pending
415,415,Bank Transfer,790.44,Pending
416,416,Apple Pay,210.99,Pending
417,417,Card,777.88,Pending
418,418,Bank Transfer,947.31,Pending
419,419,Card,852.2,Pending
420,420,PayPal,2980.86,Paid
421,421,PayPal,1053.66,Paid
422,422,Bank Transfer,786.36,Paid
423,423,Bank Transfer,742.25,Paid
424,424,Apple Pay,283.83,Paid
425,425,Apple Pay,1556.57,Paid
426,426,Card,994.76,Pending
427,427,Card,1271.28,Pending
428,428,PayPal,1142.21,Pending
429,429,Google Pay,1169.44,Paid
430,430,Bank Transfer,874.22,Paid
431,431,Apple Pay,831.42,Paid
432,432,PayPal,355.52,Paid
433,433,Google Pay,1503.68,Paid
434,434,Card,646.26,Paid
435,435,PayPal,1514.84,Pending
436,436,Google Pay,613.23,Paid
437,437,Google Pay,1059.99,Paid
438,438,Google Pay,1237.09,Paid
439,439,Apple Pay,1124.81,Pending
440,440,Card,51.11,Pending
441,441,Bank Transfer,706.16,Pending
442,442,Card,1223.51,Pending
443,443,Apple Pay,617.08,Pending
444,444,Bank Transfer,351.57,Paid
445,445,Bank Transfer,2843.76,Paid
446,446,Google Pay,2642.66,Paid
447,447,Apple Pay,1232.34,Paid
448,448,PayPal,702.44,Pending
449,449,Card,1201.65,Paid
450,450,Apple Pay,364.64,Paid
451,451,Apple Pay,2703.63,Pending
452,452,Apple Pay,299.7,Paid
453,453,Bank Transfer,295.5,Paid
454,454,Bank Transfer,1394.7,Paid
455,455,Card,1051.32,Paid
456,456,Bank Transfer,1740.79,Paid
457,457,Card,1706.34,Pending
458,458,PayPal,1463.96,Paid
459,459,Bank Transfer,364.64,Paid
460,460,PayPal,835.64,Paid
461,461,Bank Transfer,2241.03,Paid
462,462,PayPal,1183.57,Pending
463,463,Apple Pay,963.14,Paid
464,464,PayPal,1634.84,Pending
465,465,Bank Transfer,422.19,Paid
466,466,Apple Pay,2654.53,Paid
467,467,PayPal,1176.99,Paid
468,468,Bank Transfer,453.87,Paid
469,469,Google Pay,1835.28,Paid
470,470,Google Pay,1438.56,Paid
471,471,Bank Transfer,1942.35,Pending
472,472,Card,511.91,Paid
473,473,PayPal,3178.66,Paid
474,474,Card,2385.99,Paid
475,475,PayPal,1829.89,Pending
476,476,Apple Pay,1641.65,Paid
477,477,Apple Pay,304.74,Pending
478,478,Apple Pay,527.86,Pending
479,479,Google Pay,2156.48,Paid
480,480,Google Pay,477.75,Paid
481,481,Apple Pay,2015.7,Paid
482,482,Google Pay,969.66,Pending
483,483,PayPal,949.2,Paid
484,484,Apple Pay,1903.62,Paid
485,485,Bank Transfer,364.64,Paid
486,486,Bank Transfer,1061.44,Pending
487,487,Apple Pay,1771.77,Paid
488,488,Apple Pay,1229.16,Pending
489,489,PayPal,1467.72,Paid
490,490,Card,102.4,Pending
491,491,Bank Transfer,3025.84,Paid
492,492,PayPal,392.98,Paid
493,493,Card,403.66,Paid
494,494,Google Pay,863.58,Paid
495,495,Bank Transfer,210.99,Paid
496,496,Card,974.58,Pending
497,497,Bank Transfer,493.51,Paid
498,498,PayPal,543.7,Paid
499,499,Bank Transfer,2953.23,Paid
500,500,PayPal,348.55,Paid
501,501,PayPal,261.29,Pending
502,502,PayPal,1373.81,Pending
503,503,Apple Pay,329.49,Pending
504,504,Bank Transfer,560.8,Paid
505,505,Apple Pay,2307.7,Paid
506,506,PayPal,1286.57,Paid
507,507,Bank Transfer,210.3,Pending
508,508,Google Pay,963.14,Paid
509,509,PayPal,1035.22,Paid
510,510,Apple Pay,572.0,Paid
511,511,Bank Transfer,2720.22,Pending
512,512,Google Pay,1511.63,Pending
513,513,Card,432.42,Paid
514,514,PayPal,925.62,Paid
515,515,Bank Transfer,124.34,Pending
516,516,Apple Pay,1071.12,Paid
517,517,Google Pay,333.93,Paid
518,518,PayPal,2778.93,Pending
519,519,Google Pay,1531.1,Paid
520,520,Google Pay,1535.66,Pending
521,521,Card,1402.95,Pending
522,522,Apple Pay,373.02,Paid
523,523,PayPal,1338.86,Pending
524,524,Card,1461.87,Paid
525,525,Google Pay,1433.3,Paid
526,526,Bank Transfer,2157.06,Pending
527,527,Card,686.12,Pending
528,528,Bank Transfer,1885.18,Paid
529,529,Bank Transfer,1260.96,Pending
530,530,Google Pay,1196.58,Paid
531,531,Apple Pay,567.66,Paid
532,532,Google Pay,1137.03,Pending
533,533,Bank Transfer,792.61,Paid
534,534,Bank Transfer,1080.35,Pending
535,535,Bank Transfer,971.97,Pending
536,536,Apple Pay,494.14,Pending
537,537,Google Pay,1427.62,Paid
538,538,PayPal,1819.42,Paid
539,539,PayPal,605.01,Pending
540,540,Apple Pay,1153.63,Paid
541,541,Google Pay,1178.57,Paid
542,542,Apple Pay,803.67,Paid
543,543,Bank Transfer,1270.99,Paid
544,544,Apple Pay,1150.01,Pending
545,545,Apple Pay,1209.52,Paid
546,546,PayPal,1803.54,Pending
547,547,Card,2331.31,Paid
548,548,Card,1062.17,Paid
549,549,Apple Pay,1786.8,Pending
550,550,Google Pay,342.93,Pending
551,551,Apple Pay,680.18,Paid
552,552,PayPal,1498.93,Pending
553,553,Apple Pay,455.16,Paid
554,554,Bank Transfer,434.19,Paid
555,555,PayPal,2231.03,Paid
556,556,Google Pay,630.67,Paid
557,557,Bank Transfer,885.87,Paid
558,558,Bank Transfer,2217.28,Paid
559,559,Google Pay,2509.55,Paid
560,560,PayPal,686.22,Pending
561,561,PayPal,910.65,Paid
562,562,Bank Transfer,611.69,Pending
563,563,PayPal,1795.35,Paid
564,564,PayPal,1343.12,Pending
565,565,Bank Transfer,304.74,Pending
566,566,PayPal,2383.67,Paid
567,567,Card,3392.96,Paid
568,568,Bank Transfer,2444.38,Paid
569,569,Google Pay,2776.21,Paid
570,570,Card,398.33,Paid
571,571,Bank Transfer,1983.37,Paid
572,572,PayPal,1423.8,Pending
573,573,Bank Transfer,593.78,Paid
574,574,PayPal,1121.36,Pending
575,575,Card,1254.71,Paid
576,576,PayPal,49.42,Pending
577,577,Bank Transfer,2710.19,Pending
578,578,Apple Pay,955.76,Pending
579,579,PayPal,1500.46,Paid
580,580,Google Pay,1480.44,Pending
581,581,Bank Transfer,1435.24,Pending
582,582,Apple Pay,1918.89,Pending
583,583,PayPal,1975.96,Pending
584,584,Google Pay,364.64,Pending
585,585,PayPal,1566.7,Paid
586,586,Card,56.08,Paid
587,587,Apple Pay,2545.6,Pending
588,588,Google Pay,449.55,Paid
589,589,Apple Pay,815.4,Pending
590,590,Bank Transfer,2529.21,Pending
591,591,Google Pay,1551.28,Paid
592,592,Google Pay,3174.75,Pending
593,593,PayPal,377.47,Paid
594,594,Bank Transfer,1298.63,Pending
595,595,Google Pay,1286.05,Paid
596,596,Card,1455.43,Paid
597,597,Card,2495.51,Pending
598,598,Bank Transfer,3997.39,Pending
599,599,Card,3082.69,Pending
600,600,Apple Pay,4133.5,Paid
601,601,Google Pay,1326.15,Pending
602,602,Google Pay,2024.41,Paid
603,603,Google Pay,645.96,Paid
604,604,Apple Pay,863.58,Paid
605,605,Apple Pay,428.72,Paid
606,606,Apple Pay,869.47,Pending
607,607,Bank Transfer,1553.67,Paid
608,608,Bank Transfer,1032.32,Paid
609,609,Apple Pay,559.52,Paid
610,610,Card,2063.78,Pending
611,611,Apple Pay,285.44,Pending
612,612,Google Pay,870.22,Paid
613,613,PayPal,801.11,Paid
614,614,Card,1119.52,Pending
615,615,Google Pay,139.28,Paid
616,616,Bank Transfer,3334.4,Paid
617,617,Bank Transfer,2065.71,Pending
618,618,Apple Pay,2862.46,Pending
619,619,PayPal,1975.7,Paid
620,620,Bank Transfer,973.73,Paid
621,621,Bank Transfer,667.02,Paid
622,622,Bank Transfer,658.43,Paid
623,623,Bank Transfer,629.34,Paid
624,624,Bank Transfer,1256.31,Paid
625,625,PayPal,3406.02,Paid
626,626,PayPal,1659.12,Pending
627,627,Card,900.72,Paid
628,628,Apple Pay,668.0,Pending
629,629,Google Pay,937.37,Pending
630,630,Google Pay,221.67,Paid
631,631,Google Pay,302.49,Pending
632,632,Apple Pay,778.04,Paid
633,633,Apple Pay,500.32,Paid
634,634,Apple Pay,1495.91,Paid
635,635,Bank Transfer,685.15,Paid
636,636,PayPal,2082.5,Pending
637,637,Bank Transfer,2478.65,Pending
638,638,Card,1380.45,Paid
639,639,PayPal,2176.35,Paid
640,640,PayPal,583.35,Pending
641,641,PayPal,537.03,Paid
642,642,Google Pay,109.62,Paid
643,643,Apple Pay,1941.01,Pending
644,644,Apple Pay,1073.25,Pending
645,645,PayPal,432.42,Paid
646,646,PayPal,1681.84,Paid
647,647,Google Pay,1529.46,Paid
648,648,PayPal,928.0,Paid
649,649,Bank Transfer,2282.88,Paid
650,650,PayPal,463.26,Pending
651,651,PayPal,428.16,Pending
652,652,PayPal,1765.39,Pending
653,653,PayPal,1646.24,Pending
654,654,PayPal,1174.53,Pending
655,655,Bank Transfer,1302.57,Paid
656,656,Card,315.45,Paid
657,657,Apple Pay,1914.03,Paid
658,658,Google Pay,427.66,Paid
659,659,Card,431.99,Paid
660,660,Card,1648.57,Paid
661,661,Bank Transfer,764.64,Pending
662,662,Apple Pay,274.66,Paid
663,663,Apple Pay,641.66,Paid
664,664,Card,1782.16,Pending
665,665,Google Pay,192.15,Pending
666,666,Bank Transfer,3039.24,Pending
667,667,Bank Transfer,1378.62,Paid
668,668,Bank Transfer,2719.17,Paid
669,669,Google Pay,1336.05,Pending
670,670,Apple Pay,2060.54,Paid
671,671,Card,2291.7,Pending
672,672,PayPal,270.51,Pending
673,673,Card,1034.55,Paid
674,674,Apple Pay,851.49,Pending
675,675,Card,941.31,Paid
676,676,Bank Transfer,689.7,Pending
677,677,Card,446.88,Paid
678,678,Google Pay,1196.58,Pending
679,679,Google Pay,364.64,Paid
680,680,Bank Transfer,2553.78,Pending
681,681,Card,947.33,Pending
682,682,Card,771.21,Paid
683,683,Google Pay,603.87,Pending
684,684,Card,356.05,Pending
685,685,PayPal,2177.06,Pending
686,686,PayPal,1898.99,Paid
687,687,PayPal,257.88,Pending
688,688,Google Pay,69.64,Paid
689,689,Google Pay,1788.01,Pending
690,690,PayPal,626.34,Paid
691,691,Google Pay,929.92,Paid
692,692,Card,54.29,Paid
693,693,Google Pay,963.14,Pending
694,694,PayPal,627.53,Pending
695,695,Apple Pay,560.38,Paid
696,696,Apple Pay,1000.96,Paid
697,697,PayPal,1007.52,Pending
698,698,Bank Transfer,971.94,Paid
699,699,Apple Pay,1096.32,Pending
700,700,PayPal,2214.78,Pending
701,701,Apple Pay,1417.62,Pending
702,702,PayPal,1298.65,Pending
703,703,Google Pay,330.81,Pending
704,704,Bank Transfer,829.23,Paid
705,705,Bank Transfer,652.41,Pending
706,706,PayPal,1744.02,Pending
707,707,Apple Pay,382.32,Paid
708,708,PayPal,987.02,Pending
709,709,Apple Pay,2163.77,Paid
710,710,Bank Transfer,1280.37,Paid
711,711,Card,2379.02,Paid
712,712,PayPal,1113.83,Pending
713,713,Google Pay,1392.34,Pending
714,714,Bank Transfer,13.06,Pending
715,715,Google Pay,1224.88,Paid
716,716,PayPal,773.57,Paid
717,717,Card,1172.57,Pending
718,718,Card,608.32,Pending
719,719,Card,164.44,Pending
720,720,Google Pay,895.51,Paid
721,721,Google Pay,704.42,Pending
722,722,Card,412.04,Paid
723,723,Google Pay,1658.01,Paid
724,724,Apple Pay,406.03,Pending
725,725,Google Pay,2974.25,Paid
726,726,Apple Pay,151.29,Pending
727,727,PayPal,379.91,Paid
728,728,Card,2465.09,Pending
729,729,Google Pay,1339.25,Paid
730,730,PayPal,638.03,Paid
731,731,Card,217.47,Pending
732,732,Card,1224.47,Pending
733,733,Google Pay,1056.0,Paid
734,734,PayPal,531.05,Paid
735,735,Apple Pay,1687.77,Pending
736,736,Bank Transfer,1148.85,Paid
737,737,PayPal,1610.71,Paid
738,738,Card,338.39,Paid
739,739,PayPal,685.79,Paid
740,740,Bank Transfer,1888.61,Paid
741,741,Google Pay,1346.33,Pending
742,742,Apple Pay,2108.82,Paid
743,743,PayPal,2985.28,Paid
744,744,PayPal,3408.3,Pending
745,745,Bank Transfer,4023.02,Paid
746,746,Bank Transfer,398.33,Pending
747,747,Apple Pay,1167.66,Paid
748,748,Bank Transfer,687.54,Pending
749,749,Apple Pay,2721.69,Paid
750,750,PayPal,1653.81,Paid
751,751,Card,2298.45,Paid
752,752,Bank Transfer,878.59,Paid
753,753,Google Pay,386.82,Pending
754,754,Apple Pay,307.78,Paid
755,755,Google Pay,1685.62,Pending
756,756,Card,2623.35,Pending
757,757,Apple Pay,2458.03,Paid
758,758,Google Pay,2244.6,Paid
759,759,Apple Pay,682.86,Paid
